system:index,Forest Loss Total,year,.geo
0,9898569.41385929,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.2077488377917003E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,9022774.728891648,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.686713000424757E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.500718718395589E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.08346226027248E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.511469315944824E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.309064636098537E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.150450084942914E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.875120939111616E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.09745213909498E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.3885333707489856E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.8073674623101447E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.785639449980134E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.5993961202227423E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.202163862229435E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.793466916261513E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.4091458269810334E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.801953711057823E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.7679569136398017E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.9236863396886252E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.707697581007822E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.161670725634311E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
