system:index,Forest Loss Total,year,.geo
0,312449.06058708637,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,483746.37750028726,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,666135.0865126665,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1715353.2062653187,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,384599.53674316406,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1972902.3729312671,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2734791.2661451153,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5956037.504855765,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1305479.5726859297,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5756786.2617752375,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2696596.7437198414,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2999826.24492379,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2167759.034520527,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2715935.5337471757,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1732121.8111143822,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3456059.6889334884,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2524149.412645527,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3010552.7774768304,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3188359.525475356,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3905783.9913138594,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6536816.015527584,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1907207.0885502833,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5530053.906961838,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
