system:index,Forest Loss Total,year,.geo
0,2541200.4643207625,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2108180.231755754,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1158053.7178000058,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2346404.11947572,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3680867.546183029,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4497490.040299958,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4835155.223352769,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3361145.754603487,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5161103.274775965,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.1479638773464546E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2966618.8758731615,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3246008.6346921436,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1495205.6744351257,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2767264.0011302275,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2835295.0282669365,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5181715.254012523,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4034641.295213647,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4133270.6316901715,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7805841.457023591,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7322579.794185145,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9095301.655453192,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4301767.73934757,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6174730.803993614,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
