system:index,Forest Loss Total,year,.geo
0,4.665422822177375E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.489858042115407E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.67230150891008E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9.91599616995426E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.6888179049283996E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.855876714399655E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.2423804175528252E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9.411880338827479E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.829157880598265E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.514897829217149E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.149480763991448E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.135891776787258E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.3118862322242886E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.0399713872052169E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.921700377079505E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.6211436353409833E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7728972870611545E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.2534158191493519E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.556586607804582E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.4952346882347196E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.6242165191489398E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.4853468106801876E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.5465425216738498E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
