system:index,Forest Loss Total,year,.geo
0,1.0808252470948702E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6054103197556918E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4858408.016113281,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.777465999376867E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.0381198754821777E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.7393055938867904E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.0917953811157227E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.3404061715753533E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.6700498309232105E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.381772182965183E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.957656109479095E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.781581458623812E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.322894400310418E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7.613999792145158E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.754251592623723E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.3281444516761881E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.5990995577343822E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.079994175248256E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.9831865126586676E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.898861693793155E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.399751802067512E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.879782025046172E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.281723005804348E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
