system:index,Forest Loss Total,year,.geo
0,7.547955613544203E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4.718773482865612E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.2954861965748984E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.955585719685441E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.871049689540154E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.7306723761120364E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.272117760421094E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.55284541815456E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.302159196013925E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.2923614008515485E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.772701082633009E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.5929653213536166E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5.1119090772228286E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7.499970527155092E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.875741058187041E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.38789707508047E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.824604209563707E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.344607482424149E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.1320511003366746E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.846418157139078E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.316181004243092E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.707015160249047E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.489330654590656E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
