system:index,Forest Loss Total,year,.geo
0,2475531.659245031,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3093206.3111476526,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2337022.706428079,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5295639.429344745,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6780565.635339595,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4081734.6426551966,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7190034.995765118,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5598508.4386994,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7369746.298454734,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5468133.452041447,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5951411.164989037,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4408352.234772805,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2901654.736112707,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.2438696970424995E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4415930.846072687,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.7033253405654967E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7717732958173208E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.9254627692753807E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.0100778188989498E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1263003943989594E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9304441.073836742,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.2845975117316991E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.9558280281678684E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
