system:index,Forest Loss Total,year,.geo
0,4.9521642636578724E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.5708458702938065E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.914639852194082E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.0880423625264463E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6.255386468411267E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2324023298452364E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.1178415076411587E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0219554963915464E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.531848539779663E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4674744955689958E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2327388806570758E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.1305199948145178E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.6709371031524897E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.2186259016518673E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.760550240763789E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.8474511602354354E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.5031221824055916E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.086549548528421E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.1449563762453276E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.532064104848872E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.3780214870047748E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.50621759715541E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.256958185090327E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
