system:index,Forest Loss Total,year,.geo
0,9.671898047217909E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.338555329001302E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.397074476779833E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7700348259058312E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.531800156227113E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.4872180625057876E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.1023492278094028E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.0620972374911654E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.217963744835046E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4558068889580148E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.480216760479059E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.392217257828454E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.102223135452109E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.2620867705681609E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.3178439092821822E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.8645726750342813E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.2247298636972934E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.7831857577164114E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.1965733460958E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.105712713900966E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.154845087909651E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.0472728542214584E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.979761970037874E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
