system:index,Forest Loss Total,year,.geo
0,3684.5529174804688,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,22057.181579589844,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,23193.399169921875,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,564.4302368164062,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4250.752298990885,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,27290.683471679688,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6569.497863769531,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1580.8843994140625,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,20363.239910529643,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,78333.40673828125,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5208.954925537109,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,27730.726531982422,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,9922.586791992188,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,108177.21578979492,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,38883.714416503906,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,99332.64712524414,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,26828.159392233458,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1128.7852783203125,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,25209.0263671875,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,101138.01106184417,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,49585.93258894378,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
