system:index,Forest Loss Total,year,.geo
0,6.214058971963249E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0238884343833151E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.378024644786305E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.3820627941630405E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.066866753076519E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2026118006479156E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.044810759966438E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.6056787616758028E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.547125936589753E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6222054975685626E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.774334711395082E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0928398693951105E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.355579136923662E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9.528175466627988E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.773212174070278E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.682592149101857E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7999119829464877E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.582679524016743E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.2807256433859074E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.5434543204203904E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.6236001872989646E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.9325728185626388E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.588577511579666E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
