system:index,Forest Loss Total,year,.geo
0,6758171.980510158,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.9036257020766314E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4536491422188075E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.005384826393971E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.517883209266501E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.1507832274814025E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.390943422663311E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.7091648268578626E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.89699811504981E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0441056281428462E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.847646887099059E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.480005714192373E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.195278192271346E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.0309172300759226E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.240265442530302E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.1470680343047015E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.773890554579958E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.245245769855383E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.063766424407313E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.984885868673622E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8.614223119314829E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.464647124666628E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.077034991160746E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
