system:index,Forest Loss Total,year,.geo
0,6.532592270303045E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.8165395638023704E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.2739627816555604E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.361215841186739E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.097825667821165E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.870885446818346E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.474165827963604E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.1446332986102894E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.729877388078924E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.1487348099850643E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.1616120875841808E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,9.472771804828072E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.514305412897661E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.4191757097808E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.976142391798288E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.90622333567323E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7.107036703612684E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.211716599448577E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.8618474330026664E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.468494101587776E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.318716192339083E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.760154643220861E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.251447309053261E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
