system:index,Forest Loss Total,year,.geo
0,3.724866707569939E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0243273044882264E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4789000262802422E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.2830013918150064E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.63362891547046E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.9875754412477985E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.194320997124024E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.8532458282781266E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.528774110396968E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.357420858611641E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.086272401696071E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.357711908089815E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9910569651205864E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.2668402082997635E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.54180371108347E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.595504319603367E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.312884414487843E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.1269916581085682E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.028724820559682E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.144919260534261E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.711602017416717E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.308690229797627E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.907773344005115E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
