system:index,Forest Loss Total,year,.geo
0,6.801550129402477E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.8607962362243176E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.6044626631622674E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.088653652581093E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6.167277432439874E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.260280527648926E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.994238928287283E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.334623339037942E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.867205334490632E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.642104642936797E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.0159807073408302E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.7362305201683134E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.676043135644531E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.61813751842041E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.379622953908667E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,9.126493183735184E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.949599970743313E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.113904116952622E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.850288360808751E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.96070692171011E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8.369921669693293E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.374983927155068E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.391060184040886E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
