system:index,Forest Loss Total,year,.geo
0,1.4798780618993783E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.1092742435805547E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.533792025021446E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7856944107400715E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.4637871813859636E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.1372993027878514E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.6066629553125393E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.8185760017194802E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.868039299731352E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.14011735679339E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.715085432432536E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7626854663741097E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.68546264647906E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.3246723675851595E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5049472636710206E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.5670567473098683E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.814238685604447E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.9352531034674007E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.507660004783059E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.593928142251046E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.341711140400928E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.843762924526052E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.532591506217005E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
