system:index,Forest Loss Total,year,.geo
0,2.534437872886508E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.376436821358858E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.231425612051954E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.22428346222611E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.3755289614841765E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.871996066587034E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.9997296706622675E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.5846763746668032E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2917171410006079E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4563160244962612E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.1050306319266927E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.3425138180883646E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.1429665815299E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.2975481758000082E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.627688730781204E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.1671376910223892E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.5200677369596234E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.757255468821157E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.006329465879875E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,9.612889150614749E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.439095917960999E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.3284852335343695E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.3328066848155183E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
