system:index,Forest Loss Total,year,.geo
0,1.3358522903151805E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3884779282682211E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.832426363211323E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.458756778405993E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.294491416099826E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8138237591398356E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5079484663248117E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.002786692517059E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.7613943697402453E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6724522689372005E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.592001856969828E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.60186251021578E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.4826351900838032E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8567254516563115E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.7131501453263535E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.3924410023563647E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.3313867675964336E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.677984378607771E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.8723053860569487E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.496013584616512E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.626976730822904E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.516351535234409E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.3795999095496206E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
