system:index,Forest Loss Total,year,.geo
0,2.844341750018368E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.924251595421413E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.1972064784094432E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.669620553366741E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.951018828988286E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.7924979116042745E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.433812187936423E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.073642553646951E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.366227363698581E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.3982897585084398E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.340889386757963E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.675828518978751E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.070394605883248E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.480659473424788E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.775040126813223E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.21745894305633E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7.072589935588659E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.012178680713782E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.188160737838492E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.820701348069988E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.135256135820202E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.975338645963571E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.682205462967257E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
