system:index,Forest Loss Total,year,.geo
0,1.3412353699233206E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3605045204826996E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.659415970279852E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.177911906420965E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.739364249607164E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.001214362366685E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.693062235907838E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.877885717169391E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.7871282995831466E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7.360644606695327E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.340810146229473E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.537959312295523E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.4822317209125042E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0280992249620795E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2599037203794017E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.6008677854504946E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.188271605163603E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5.0943368246848524E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.0612138693397164E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.8473979781887603E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.9972981283499496E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8.487694896227356E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.205875549030983E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
