system:index,Forest Loss Total,year,.geo
0,1.1877552015155508E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4.7991399919136085E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.3714477443670295E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.290993077009181E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.717551708619553E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.8027060327265E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.5772757525416803E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.0755263198124522E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.163315595804492E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7.612656782710919E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.211885717496242E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.434723143324329E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.646429499360448E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.459091437847565E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.4486806413553156E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.155596611205266E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.095930512846749E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.517224029980014E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.942948453877144E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.2658971122258924E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.453937750513387E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.1652701288846268E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.571959116132755E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
