system:index,Forest Loss Total,year,.geo
0,2.535295633553323E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.700555678504088E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.3484864016627412E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.3173934702621154E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.429724514893225E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.869592118850337E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.6430899928799495E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.1813291933625102E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.511518127507659E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.204451184597742E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.4768374498461675E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.444340755203044E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.800986492528627E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.297855750018382E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.3341113679099888E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.888795651521235E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.994366682587029E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.298244236426044E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.493326591008085E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.447430488254682E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.893039730450894E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,7.09603489175743E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.323361957547775E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
