system:index,Forest Loss Total,year,.geo
0,5.333689352221464E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.168666633658472E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.7746002162804216E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1000245368775468E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.369325107619222E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.051878144586468E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.57799219561533E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.312498710708462E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.708292920511259E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.1035816692863744E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8.167926143719698E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.1897904725634933E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,9.05017485951775E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.537720663940195E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0794058600856814E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4188009594496304E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.429050845986632E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.3993153270515424E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.4546066550173724E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.2149716133672711E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.3943993000848484E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.4983657313392118E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.0004836120740345E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
