system:index,Forest Loss Total,year,.geo
0,8.3471287008712E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.240853283651745E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0267493485840563E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.41357798200118E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.861951246890199E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.388696339053956E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.863834874927764E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.3412932942772481E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2777744521658482E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.3987852975712603E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.1147689295042749E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.0989762206125367E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.542277014264567E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.9693451732753953E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.3943826844419378E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.440851579809687E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.370452205506515E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.8515698407441807E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.941930048434985E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.798374290974641E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.7961887305723995E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.8330673331663555E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.4453474722077113E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
