system:index,Forest Loss Total,year,.geo
0,2.069508958564258E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.684344587311877E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.0695045803866085E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.988107399732597E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.0173657421532273E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.8327839535453475E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.5874746560528135E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.918893141766468E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.484382402863504E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.845814665360195E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.470634688639297E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.430979943437982E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.782083026808627E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.2278921425424606E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.0792381645017385E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.49638879825776E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.70903434013093E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.698733681701774E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.734105330217338E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.0224500966664416E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.829250031645526E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.713367732055738E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.45536751908937E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
