system:index,Forest Loss Total,year,.geo
0,3.2499297945712216E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.4672352016183175E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.22524291131441E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.090556998267271E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.4966382610875773E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.356734930252135E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.559777744842672E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.23501068421122E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0583782815532082E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6176790944808805E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.077350330060566E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.519113715136433E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.6258219318885E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.628528247993561E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.837935155594506E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.6053318230180496E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.3358102766496342E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.6893545662254208E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.728157266250455E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1210138653613184E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.696422824382947E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.803965062778296E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.218229593077824E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
