system:index,Forest Loss Total,year,.geo
0,5726784.71719468,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6845840.837160597,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2722509.784633502,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1268952194358196E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.2939834899942078E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.333352602507061E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5522416818937175E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.061438435140333E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4405685114396876E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.1371800970081046E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0865292389396157E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8972368.525720933,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4619286.887518191,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7541156.801531623,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8006123.360878859,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.2224356282669367E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.1075469617268642E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.052281440307737E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.1131353165781297E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.6518565956809847E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.169630530096388E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,9968211.116566136,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.26465023942828E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
