system:index,Forest Loss Total,year,.geo
0,1.454605061142401E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.387697171038608E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.5896366389095223E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.3698767995344603E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.246470689966662E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.2560944736698097E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.3061666143964654E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.521732541038043E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.488987605549262E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.935180237139267E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.510642150244358E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.340419120712397E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.3573722578478664E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.37432721774862E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.085552828888286E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.275253265604746E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,9.184994136358889E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.242346484658953E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.392074738284976E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.192255303537314E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.467350922176998E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.869626920325364E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.28358568154559E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
