system:index,Forest Loss Total,year,.geo
0,1.789752961303917E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.8068528245762867E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.0848376726235664E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.610768744957881E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.1081758108371246E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.60338822855952E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.070099653733442E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.775071433214741E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.5248241022971743E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.550987252121862E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.694658691217194E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.130185072978147E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5.668786351937877E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.522220362715042E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.0728697943858284E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.0551784067534549E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.035412328363755E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.1007389256703963E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.354239657438733E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.102878097482891E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.3775789554655665E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.714549600432795E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.367808351326895E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
