system:index,Forest Loss Total,year,.geo
0,1.5918880132247433E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.479470657792641E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.656622772870927E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7298908033169904E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.802801015673919E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2135471170039588E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.5728636297750145E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.669461264905472E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.521619327909699E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.7236558223460838E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.6321042924543387E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.9204968546895176E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.2309763950347683E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8695350282301697E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0505715954550038E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.2328558395840302E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.845020988615316E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.8451477357332477E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.1872446279126288E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.6792266483999023E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.4165672877128762E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5729347236531886E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.4430126211418194E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
