system:index,Forest Loss Total,year,.geo
0,5800016.869640874,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7024951.208243097,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5133876.03917739,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.249836844872688E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.842422716984337E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2172506108512131E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.0705237999445654E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.8002531374260157E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.9145718430579573E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.414783483900218E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.40409596989928E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8755201.629555855,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6163897.599467438,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.341730532480684E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.015017154654206E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.350059822880907E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.856483057293031E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.235386387817885E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.463447288181344E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.8585885733893424E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.1981961400887284E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.88736394823618E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.61783426241096E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
