system:index,Forest Loss Total,year,.geo
0,2.8057540668986243E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.412339153997801E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.2232194532143652E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.500474063697935E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.727483677365301E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.982744275885051E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.739270208642066E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.2432554914863783E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.617939266788907E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.5341289266341E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.04002456284004E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.797357630969515E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.910035830830321E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7.887349363856915E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.964725993295673E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.1557392552173781E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.1006013073710876E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.2698959657075326E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.610958968013718E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0960712078424063E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.255835138989806E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5186282450385306E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.54655981734149E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
