system:index,Forest Loss Total,year,.geo
0,1.258023886280581E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6699768129668653E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.825797257243716E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.6473196608062625E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.4136644013537292E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.466972419731448E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8138384975652673E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.9194664825260143E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0720849968391745E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.6298564952072005E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.0488023045542724E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.3396528545944705E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9698955042531033E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.411739679194447E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.1515678220641627E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.085134116746821E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.287086716109873E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.8812837577189918E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.285413988413972E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.3606437370213366E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.2917888359653316E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.2575713906129704E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.0923444457965612E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
