system:index,Forest Loss Total,year,.geo
0,1.6972748969793883E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6562180604215938E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4934552511752618E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.1184372891449982E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.585580957682687E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8572443090903175E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.884997690880327E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1729178086859335E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.5437967904291236E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.7353300689675856E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.2137801981372988E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.510469060387938E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.793973364911073E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.9790366710442984E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.3587650945377797E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.8273329681675255E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.2527522072290382E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.578977664391391E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.777144836555248E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.2310014506305426E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.5672863905310956E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.329254068323721E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.093002484295355E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
