system:index,Forest Loss Total,year,.geo
0,6748969.210490626,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.9029322806654986E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4533658796699792E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.003851248793874E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.5160560585768037E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.148911215579547E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.384987254688458E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.702106794533644E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.894902323552007E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0412523992359859E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.8431934185199566E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.4795511259477444E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.195108243943709E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.0294272784279734E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.235419083228544E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.146033373403823E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.773040153871951E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.245019714020421E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.063256722435877E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.984716178597939E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8.61267591697718E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.464589779171023E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.074072842485207E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
