system:index,Forest Loss Total,year,.geo
0,5.717331531747138E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.0562954822777126E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.075505218929731E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.943143033667207E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.840085765758176E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.589598574891117E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.063908170862199E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.222217317683776E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.3962251282762244E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.9986708529049862E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.90926197081172E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,9.096205832383674E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.239405978461507E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.1266973944695204E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.8715958404311E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.752700302824108E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.684874252196667E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.990910631587537E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.769943739446184E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.219909208387092E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.1246362539113484E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.480032399019201E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.878342671487128E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
