system:index,Forest Loss Total,year,.geo
0,1.4746865973754522E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.1041976947743073E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.523481784295738E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.782622125342733E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.460295708934296E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.1120872068131196E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5853543838492215E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.804582091322141E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.8613689265865153E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.1338318418822163E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.704331349237654E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7591727759590703E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.6804252397993726E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.3189551080854434E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.500011321205008E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.555839660250215E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.805425168344634E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.924454224662773E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.4963664151645297E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.585725908587828E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.3352249868993413E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.8327367441433597E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.526149908307154E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
