system:index,Forest Loss Total,year,.geo
0,1.334341520289973E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3870008232854946E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.822955456048542E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.456613229856616E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.291686544795719E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.811755114411107E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5060376507763202E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.00054453218335E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.7590120144556034E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6694609292688725E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.5903522859433997E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.5998051196230376E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.4805541645806603E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8541160234866335E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.7102728506979055E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.389390462396709E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.3275948287941585E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.675094174241957E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.8700896056795077E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.4934788601740375E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.62368931746771E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.512963613071872E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.3771510360439754E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
