system:index,Forest Loss Total,year,.geo
0,7.604243817350692E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8.782888713943493E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.8091635783183258E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.3210225170802937E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.353179847121988E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.982739307071534E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.569156217465724E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0015314880960071E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.1614996558822787E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.3509777092845172E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0518579426896997E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.8889046940039992E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.2776449550574137E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8379337183574483E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.3174372216135684E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.2439996207048386E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.6900740272140634E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.424911248853922E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.801152337401049E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.752244902186799E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.2552691377769896E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.5140115346425733E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.277648175097233E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
