system:index,Forest Loss Total,year,.geo
0,3.2491573636080876E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.466108059107331E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.2248266192611873E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.090258752283385E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.496176315295341E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.354757314724791E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.559358927380516E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.2343991877915421E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0577126603959818E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.617202850699142E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.076959688750141E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.51333197841768E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.624751992905346E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.6281720730547044E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.833620396073022E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.60420089249561E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.3352136537620611E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.688131186769244E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.722628441519009E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1202429750823878E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.696304004924939E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.802121760098853E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.210925317656681E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
