system:index,Forest Loss Total,year,.geo
0,5714840.5995189,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6842406.047060499,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2636080.052333697,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1267244746116009E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.2935569915567076E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.3279438363571584E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5509406032316081E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0609033272545908E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4395469195329493E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.134749444963427E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.079819503996989E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8954991.50130687,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4593937.289181219,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7532582.336077522,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8006123.360878858,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.2224356282669365E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.107490764638241E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0517692381409887E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.106452365162114E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.6424667371055452E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.1675511839232925E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,9946294.625416234,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.2634197163997158E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
