system:index,Forest Loss Total,year,.geo
0,1.1003574223496811E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.4977581198464018E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.41796079106991E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.8677656001198852E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.3292378391993192E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.41555145241732E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.9623254797878444E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.9474274263640448E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.2176376479347712E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.6471835144835275E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.640350961651566E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.865775836876716E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.7817942195023644E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.5171255423066854E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.8161530703741527E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.655151675843415E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.0069506183325195E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.405246829714431E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.813619950700468E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.270135356541076E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.102507249191496E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.8789449678888947E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.842280092358205E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
