system:index,Forest Loss Total,year,.geo
0,5788741.016003178,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6831785.679495539,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4613143.213730756,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2323533198238596E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.838235610203331E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2169373706229417E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.905762248931382E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.785611419353506E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.9133304750464823E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.413289778748851E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.4014868833026003E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,7999026.598977242,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5908194.206706207,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.3387267045998245E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0145158753207099E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.345491582030077E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.833804773565004E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.203502970264176E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.440966421201363E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.824057966004088E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.185199050830916E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.1105691513623524E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.376780810830606E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
