system:index,Forest Loss Total,year,.geo
0,2.443926883718403E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.8144125335672987E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.920639877064307E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.349443004013489E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.811600181247037E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.668427468014427E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.537322254711347E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.7162841166495717E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5.402122785083228E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.718401620335612E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.2018966205665046E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.912038579258502E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5.805221479691694E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.861133594823422E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.801185556439275E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,9.254427498333094E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7.316959467470906E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0223631339123448E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.719287169429789E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,9.411011363221729E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.356855694996468E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.798000148206509E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.383300225647998E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
