system:index,Forest Loss Total,year,.geo
0,1.257418914724643E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6687519620063243E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.8175623864881E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.641850701604847E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.412219822926056E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.464615993395999E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.805388797873434E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.91175635859715E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0683526766482873E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.62672794821486E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.047680239738141E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.3377176511174803E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9683653646439724E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.3342916272553596E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.1433439703216693E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.0804620962915297E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.285172620029457E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.8559980245194993E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.250631758280152E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.359344385324041E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.2915910957422175E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.2572875813646183E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.0921834560720735E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
