system:index,Forest Loss Total,year,.geo
0,6748969.210490627,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.9029322806654986E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4533658796699794E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.003851248793873E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.5160560585768037E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.148911215579547E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.3849872546884574E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.058557211155145E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.8949023235520065E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9.691855546095379E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.843193418519957E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.4795511259477444E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.195108243943709E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.029427278427974E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.235419083228544E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.146033373403823E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.7730401538719505E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.245019714020422E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.0632567224358775E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.976962388659237E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.400367835613438E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.464589779171023E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.074072842485209E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
