system:index,Forest Loss Total,year,.geo
0,5.557664523885809E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.056295482283816E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.0755052188992135E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.9431430336672075E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.84008576578259E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.589598574891118E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.063908170813371E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.222217317683775E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.396225128264016E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.9986708529049862E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.9092619708117202E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,9.095943196102437E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.2394059784615073E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.126697394463417E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.087791304444771E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.752700302824108E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.684874252153943E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.990910631544812E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.769943739446183E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.219909208387092E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.680479436959229E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.478431527330011E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.878342671487128E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
