system:index,Forest Loss Total,year,.geo
0,1.4746865973757577E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.7763592918241733E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.523481784295738E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.782622125342733E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.4602957089346015E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.068819094026865E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5853543838495266E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.8045729567350438E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.8613689265865153E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.1338318418816063E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.5447798475355476E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7591727759590706E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.680425239799373E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.3189551080875793E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5000113212043977E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.3730040602359295E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.6288770610005414E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.924454224663078E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.323827773010598E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.554356903986693E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.293721477828056E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.832736744144581E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.480318997885096E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
