system:index,Forest Loss Total,year,.geo
0,2.5328575582258638E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.370236108175264E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.228680255527296E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.159831993017073E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.0784131100766677E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.864833687619749E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8326835199250895E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.452422624074027E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2133898812154517E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.450606307442208E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.9779946262075767E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.3412541777129982E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.133949344139764E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.2962256763566488E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.613853225568801E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.6401894509619597E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.6054400085380068E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.7682372826180658E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.4767886494979155E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.9561518741837037E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.6503590990426093E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.9225711093031412E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.1628793458086035E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
