system:index,Forest Loss Total,year,.geo
0,1.3405646515352592E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3598389804271576E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.6582907521951355E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.1220497312311083E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.710886923791734E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.8828600497195905E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.007728319180568E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.2449037425132436E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.7863280891375905E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.253451543894421E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.2853044903827035E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.5374017937935844E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.480299745926741E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.009773053978312E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2594366801084056E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.5994053582778722E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.0494805375708294E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.237231114037897E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.56397643182443E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.770644958457663E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.043470933544548E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.264009039101029E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.129667854260302E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
