system:index,Forest Loss Total,year,.geo
0,6.818207100824454E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.439618028757946E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.9628651128451716E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.04020757108767E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.9241576419467818E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.540999755696207E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.2855072954890944E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.650389342860537E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.782925258902109E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.6423900230605654E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.026870516930363E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.097484705712245E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.48441658468221E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.432099795770192E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.803544720191411E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.7811470542689905E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.721643760687782E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.496157852014519E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.379833125152565E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.9503953978542194E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.1658742713153444E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.4760361235025324E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.591720348869055E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
