system:index,Forest Loss Total,year,.geo
0,6.2502663553130984E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.253403409045877E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.49251568207127E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2591992533131787E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.979572600041687E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.71052684313824E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.578013118454289E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.5024409054775497E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4287768434305003E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.1473049336364654E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2837174302775615E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.748572148227497E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.3821208675304493E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.5820984112947905E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.568873682053723E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.520234535480104E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.5534722787406558E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.9620707033287078E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.4288346544735372E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.261141592832827E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.2325182132606718E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.3479382045655075E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2712425184829846E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
