system:index,Forest Loss Total,year,.geo
0,1.0730249231522934E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.4519024707881743E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7.66595328547909E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7166327763362366E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.2643266315619901E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.358510615433067E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8572668934280792E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.8355048012657782E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.124247756624957E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.43714651690052E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.6381856515266737E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.735458062114754E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.72642577944133E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.4507798702784884E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.7771378464187825E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.2688131679538625E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.7079695274887574E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.510730102661035E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.5942207822983688E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.559981423487017E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.9954003473555577E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.794413530267434E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.690539970297657E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
