system:index,Forest Loss Total,year,.geo
0,2.280242304933613E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.802587020993446E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.9203392581312016E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.112148455179486E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.811522933193448E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.5064853118040997E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.472756482291676E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.6479251211069906E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5.3189795624477303E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.718224245656954E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.169928315403401E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.9119025824402654E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5.626217304804E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.770832587983311E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.650519346016912E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.666512391434289E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7.150030975662198E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.14758801953643E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.517055022417133E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.754837669713461E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.10987783356238E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.650547259271572E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.269785562391773E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
