system:index,Forest Loss Total,year,.geo
0,5.590190449206519E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.393859158203341E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.2521178028917691E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2814107646885772E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.9533091626311728E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.140647149250206E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.6677522629455662E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.1341175142422783E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4671494665285742E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.5362848139626756E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.6850623723459375E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0139118155933455E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.607028321986922E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,8.456176252341212E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.246324383028945E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.5757748323209706E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.6917097036876604E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.749780244625187E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.2036452488300422E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.8542897590661553E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.5718070258088714E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.8672557124893582E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.061717017459956E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
