system:index,Forest Loss Total,year,.geo
0,5796595.089348049,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.747481628369021E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.3946383602545287E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.847474585075109E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.398407099809259E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5.937783393112577E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.2635735320567176E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.842340070485911E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.757056543659501E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9.365853737639855E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.72042006888411E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.3429923678352386E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.10694867641434E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.8613968143960156E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.1593929116756905E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.9891971443462774E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.591173831871242E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.1533849575293206E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.938871694864838E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.821449417265409E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.192703269097303E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.330731031421545E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.942078712872098E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
