system:index,Forest Loss Total,year,.geo
0,5.3505635207307465E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.9095405164786544E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.863662951711857E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.599817750138371E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.537608319224351E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.375261961057775E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.7614692598477E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.035363852950033E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.174576263734969E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.8070310606329225E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.744530752401554E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.69386735702017E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.9716768406892188E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.780156493709765E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.819448651012489E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.4384373644267246E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.304344471079628E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.789212337962934E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.661584463690688E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.116979237616972E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.584817619423253E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.395563066637226E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.7979371202715464E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
