system:index,Forest Loss Total,year,.geo
0,3.2643090620032214E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9403077.994221168,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.3807610956924738E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.141894097200521E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.379621811620483E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.816819089073463E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.061072975941856E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.5064613413532086E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.00499313976243E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.205841059454956E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.9906640056342028E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.1821175189327225E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.8936676391745415E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.197129266800418E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.4062274984462842E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.434301609497597E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.1187143625621006E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.0552282013519768E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.979445391635072E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.065003260545786E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.588452968429602E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.2150326026313692E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.830240390101917E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
