system:index,Forest Loss Total,year,.geo
0,5.5529983953275315E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.523718623742484E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.5225867508783318E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.8084176954521865E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.798016183166504E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.0781650027770996E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.542137351017348E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.9780849738625675E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5.970897509399079E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.46084736270886E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.8998218936376475E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.551811911879237E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.54910248657193E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.3598285972351074E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.198025570339331E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.02086993929843E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.856478967390544E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.006159591334563E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.999500339853922E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.660316228936672E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.69217376996144E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.245319399101515E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.353022420878068E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
