system:index,Forest Loss Total,year,.geo
0,1.4419401065471992E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.746548473980258E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.4537867335544355E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7615156688744175E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.4316987804830346E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.032459792110874E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5647615288150024E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.7827928624520394E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.8280504149030882E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.1070088147629672E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.5151558661957982E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7298694325133675E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.6536676249578527E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.283751768898028E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.4842013323919764E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.3459488753145427E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.5989214012196016E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.9094309165244395E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.3095789443146974E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.5357930049237007E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.279510599507595E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.806285181416539E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.466814064452169E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
