system:index,Forest Loss Total,year,.geo
0,2.1303942604304533E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4.688976789164249E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.9004666148720894E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.0713278121893479E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.9553137412136278E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.27305903709961E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.7412962957345307E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.3638698807588702E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.134088157512743E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.3666906207247794E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.87470392242232E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.2511995892949386E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.413732113984974E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.1874770758301619E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.105163858613281E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.5373508297703522E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.5217769816517162E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.7125856504844946E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.42461111299106E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.892587459154552E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.5749048645491627E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.8373627912405527E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.0848736326503068E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
