system:index,Forest Loss Total,year,.geo
0,1.3139788763608418E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3622022076444259E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.749358935378013E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.4461359377215207E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.2671125884678745E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.792265515787813E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.4958761003079898E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.9852454959439135E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.7331397462428224E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6322119959650395E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.413893594305687E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.5782499493916736E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.4533014386606028E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.819963137744141E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.6918289244807906E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.3548998574254403E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.9357803962466145E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.5948592763952537E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.7926183219394293E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.4744269109933753E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.549368020364719E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.4233593434073906E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.3679173749734974E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
