system:index,Forest Loss Total,year,.geo
0,2.4639429570202065E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.4940958501810205E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.7090572940533638E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.52713779357393E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.1685796295853466E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.335511925904553E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.155279703800205E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.506345767198282E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.913146199358808E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.426823489372515E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.4576379606491745E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.1436265654749656E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.819274979969894E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.2142409711194485E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.591096028852354E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.68328400624693E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.288431323183048E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.48429007205087E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.532917735957643E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.111756812581894E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.674083574505733E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.152175242993576E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.67980089610522E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
