system:index,Forest Loss Total,year,.geo
0,1.1426232824013193E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.1902135332421233E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.111678890486653E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.81767864026888E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.424448620310118E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.615105767392672E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.809668576315892E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.9657187389981884E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.5757797065640128E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.939747265369362E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.054776602195712E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.3130607720375594E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.278213915726663E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.752429891156147E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.181499903564245E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.4155760888596407E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.8259415278564024E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.1203040989454764E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.416439724235471E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.614484928585532E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.889282251023268E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.0804556057854676E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.955461319735575E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
